date,no-of_reviews
2021-07-01,15
2021-07-02,11
2021-07-03,14
2021-07-04,19
2021-07-05,36
2021-07-06,24
2021-07-07,17
2021-07-08,12
2021-07-09,12
2021-07-10,31
2021-07-11,42
2021-07-12,25
2021-07-13,12
2021-07-14,11
2021-07-15,11
2021-07-16,14
2021-07-17,32
2021-07-18,49
2021-07-19,27
2021-07-20,33
2021-07-21,14
2021-07-22,22
2021-07-23,25
2021-07-24,28
2021-07-25,76
2021-07-26,231
2021-07-27,85
2021-07-28,46
2021-07-29,30
2021-07-30,35
2021-07-31,70
2021-08-01,86
2021-08-02,76
2021-08-03,42
2021-08-04,29
2021-08-05,25
2021-08-06,34
2021-08-07,62
2021-08-08,102
2021-08-09,68
2021-08-10,43
2021-08-11,36
2021-08-12,29
2021-08-13,40
2021-08-14,70
2021-08-15,137
2021-08-16,88
2021-08-17,50
2021-08-18,34
2021-08-19,30
2021-08-20,51
2021-08-21,55
2021-08-22,128
2021-08-23,116
2021-08-24,57
2021-08-25,28
2021-08-26,31
2021-08-27,47
2021-08-28,74
2021-08-29,172
2021-08-30,115
2021-08-31,131
2021-09-01,52
2021-09-02,35
2021-09-03,45
2021-09-04,64
2021-09-05,216
2021-09-06,435
2021-09-07,253
2021-09-08,90
2021-09-09,65
2021-09-10,88
2021-09-11,112
2021-09-12,277
2021-09-13,199
2021-09-14,78
2021-09-15,68
2021-09-16,39
2021-09-17,57
2021-09-18,84
2021-09-19,315
2021-09-20,308
2021-09-21,124
2021-09-22,76
2021-09-23,80
2021-09-24,77
2021-09-25,79
2021-09-26,180
2021-09-27,39
